time_s,x_m,y_m,z_m,U_x_m_s,U_y_m_s,U_z_m_s,vorticity_s_1,temperature_K,pressure_Pa
0,0.0,0.0,0.5,0.00,0.00,0.00,0.0,293.15,101325
0,0.5,0.0,0.5,0.35,0.01,0.04,24.0,293.25,101336
0,1.0,0.0,0.5,0.52,0.04,0.06,48.0,293.32,101348
0,1.5,0.0,0.5,0.38,0.05,0.04,31.0,293.26,101340
0,0.5,0.5,1.0,0.21,0.13,0.08,35.0,293.28,101337
0,1.0,0.5,1.0,0.44,0.16,0.12,61.0,293.42,101355
5,0.0,0.0,0.5,0.02,0.00,0.01,4.0,293.15,101327
5,0.5,0.0,0.5,0.68,0.03,0.10,76.0,293.37,101356
5,1.0,0.0,0.5,1.08,0.08,0.18,122.0,293.66,101391
5,1.5,0.0,0.5,0.81,0.10,0.12,89.0,293.48,101369
5,0.5,0.5,1.0,0.46,0.22,0.16,69.0,293.41,101361
5,1.0,0.5,1.0,0.86,0.27,0.23,134.0,293.74,101402
